Таблицы обратного планирования

  k4 |  x4 |    P4 
 312 |  72 | 94.427
 316 |  72 | 95.026
 320 |  68 | 95.624
 324 |  72 | 96.223
 328 |  76 | 96.812
 332 |  72 | 97.397
 336 |  72 | 97.984
 340 |  76 | 98.562
 344 |  76 | 99.131
 348 |  76 | 99.703
 352 |  76 | 100.276
 356 |  80 | 100.841
 360 |  76 | 101.405
 364 |  80 | 101.962
 368 |  84 | 102.518
 372 |  84 | 103.072
 376 |  84 | 103.623
 380 |  88 | 104.165
 384 |  84 | 104.710
 388 |  84 | 105.253
 392 |  88 | 105.788
 396 |  84 | 106.326
 400 |  88 | 106.863
 404 |  92 | 107.395
 408 |  92 | 107.918
 412 |  92 | 108.442
 416 |  92 | 108.969
 420 |  92 | 109.494
 424 |  92 | 110.010
 428 |  92 | 110.524
 432 |  92 | 111.034
 436 |  92 | 111.546
 440 |  96 | 112.052
 444 | 100 | 112.560
 448 | 100 | 113.066
 452 | 100 | 113.570
 456 | 100 | 114.064
 460 | 100 | 114.561
 464 | 104 | 115.058
 468 | 104 | 115.554
 472 | 104 | 116.046
 476 | 108 | 116.531
 480 | 108 | 117.017
 484 | 108 | 117.500
 488 | 108 | 117.985
 492 | 108 | 118.466
 496 | 108 | 118.941
 500 | 108 | 119.421
 504 | 108 | 119.896
 508 | 116 | 120.372
 512 | 116 | 120.844
 516 | 116 | 121.313
 520 | 116 | 121.779
 524 | 116 | 122.242
 528 | 116 | 122.700
 532 | 116 | 123.166
 536 | 120 | 123.624
 540 | 116 | 124.084
 544 | 116 | 124.540
 548 | 124 | 124.995
 552 | 124 | 125.450
 556 | 124 | 125.901
 560 | 124 | 126.354
 564 | 128 | 126.797
 568 | 124 | 127.247
 572 | 128 | 127.691
 576 | 128 | 128.133
 580 | 128 | 128.576
 584 | 128 | 129.019
 588 | 124 | 129.457
 592 | 128 | 129.895
 596 | 128 | 130.330
 600 | 136 | 130.765
 604 | 136 | 131.198
 608 | 136 | 131.629
 612 | 136 | 132.063
 616 | 136 | 132.490
 620 | 132 | 132.916
 624 | 136 | 133.348
 628 | 140 | 133.773
 632 | 140 | 134.196
 636 | 136 | 134.612
 640 | 136 | 135.034
 644 | 140 | 135.456
 648 | 140 | 135.874
 652 | 140 | 136.292
 656 | 148 | 136.708
 660 | 148 | 137.124
 664 | 148 | 137.533
 668 | 148 | 137.944
 672 | 148 | 138.355
 676 | 148 | 138.762
 680 | 148 | 139.172
 684 | 152 | 139.579
 688 | 152 | 139.985
 692 | 152 | 140.388
 696 | 152 | 140.792
 700 | 152 | 141.196
 704 | 160 | 141.596
 708 | 152 | 141.997
 712 | 152 | 142.395
 716 | 152 | 142.792
 720 | 160 | 143.188
 724 | 160 | 143.585
 728 | 160 | 143.979
 732 | 160 | 144.367
 736 | 168 | 144.761
 740 | 160 | 145.153
 744 | 160 | 145.544
 748 | 160 | 145.935
 752 | 168 | 146.319
 756 | 172 | 146.710
 760 | 172 | 147.098
 764 | 172 | 147.482
 768 | 172 | 147.863
 772 | 172 | 148.246
 776 | 172 | 148.627
 780 | 172 | 149.012
 784 | 172 | 149.388
 788 | 172 | 149.765
 792 | 180 | 150.141
 796 | 172 | 150.519
 800 | 172 | 150.899
 804 | 176 | 151.270
 808 | 180 | 151.645
 812 | 176 | 152.017
 816 | 180 | 152.392
 820 | 172 | 152.757
 824 | 176 | 153.127
 828 | 180 | 153.500
 832 | 180 | 153.870
 836 | 180 | 154.235
 840 | 180 | 154.605
 844 | 184 | 154.966
 848 | 188 | 155.334
 852 | 184 | 155.697
 856 | 188 | 156.059
 860 | 192 | 156.422
 864 | 196 | 156.784
 868 | 192 | 157.145
 872 | 192 | 157.506
 876 | 192 | 157.864
 880 | 192 | 158.223
 884 | 192 | 158.577
 888 | 192 | 158.936
 892 | 196 | 159.288
 896 | 200 | 159.644
 900 | 204 | 160.001
 904 | 200 | 160.354
 908 | 204 | 160.709
 912 | 196 | 161.061
 916 | 200 | 161.415
 920 | 204 | 161.769
 924 | 204 | 162.114
 928 | 212 | 162.464
 932 | 212 | 162.810
 936 | 212 | 163.160
 940 | 212 | 163.503
 944 | 204 | 163.854
 948 | 204 | 164.199
 952 | 212 | 164.548
 956 | 212 | 164.892
 960 | 216 | 165.233
 964 | 212 | 165.578
 968 | 212 | 165.919
 972 | 220 | 166.259
 976 | 220 | 166.599
 980 | 216 | 166.938
 984 | 220 | 167.276
 988 | 212 | 167.614
 992 | 212 | 167.951
 996 | 220 | 168.290
1000 | 220 | 168.628


  k2 |  x2 |   P2 
   0 |   0 | 0.000
   4 |   0 | 10.992
   8 |   4 | 19.245
  12 |   4 | 24.634
  16 |   8 | 28.674
  20 |   8 | 32.234
  24 |   8 | 35.429
  28 |  12 | 38.344
  32 |  12 | 41.050
  36 |  12 | 43.602
  40 |  16 | 46.046
  44 |  16 | 48.330
  48 |  16 | 50.504
  52 |  20 | 52.597
  56 |  20 | 54.573
  60 |  20 | 56.474
  64 |  24 | 58.337
  68 |  24 | 60.129
  72 |  28 | 61.861
  76 |  28 | 63.555
